label	index
<eos>	0
"	"	1
 	2
!	3
""""	4
#	5
$	6
%	7
&	8
'	9
(	10
)	11
*	12
+	13
,	14
-	15
.	16
/	17
0	18
1	19
2	20
3	21
4	22
5	23
6	24
7	25
8	26
9	27
:	28
;	29
=	30
?	31
@	32
A	33
B	34
C	35
D	36
E	37
F	38
G	39
H	40
I	41
J	42
K	43
L	44
M	45
N	46
O	47
P	48
Q	49
R	50
S	51
T	52
U	53
V	54
W	55
X	56
Y	57
Z	58
[	59
\	60
]	61
^	62
_	63
`	64
a	65
b	66
c	67
d	68
e	69
f	70
g	71
h	72
i	73
j	74
k	75
l	76
m	77
n	78
o	79
p	80
q	81
r	82
s	83
t	84
u	85
v	86
w	87
x	88
y	89
z	90
{	91
|	92
}	93
~	94
	95
	96
¡	97
¢	98
£	99
¥	100
¦	101
§	102
¨	103
©	104
«	105
­	106
®	107
¯	108
°	109
±	110
²	111
³	112
´	113
µ	114
¶	115
·	116
¸	117
¹	118
º	119
»	120
¼	121
½	122
¾	123
¿	124
À	125
Á	126
Â	127
Ã	128
Ä	129
Å	130
Æ	131
Ç	132
È	133
É	134
Ê	135
Ë	136
Ì	137
Í	138
Î	139
Ï	140
Ð	141
Ò	142
Ó	143
Ô	144
Õ	145
Ö	146
×	147
Ø	148
Ù	149
Ú	150
Û	151
Ü	152
Þ	153
ß	154
à	155
á	156
â	157
ã	158
ä	159
æ	160
ç	161
è	162
é	163
ê	164
ë	165
ì	166
í	167
ï	168
ð	169
ñ	170
ò	171
ó	172
ô	173
ö	174
÷	175
ø	176
ù	177
ú	178
û	179
ü	180
þ	181
ā	182
č	183
ē	184
ī	185
ń	186
ƪ	187
ǎ	188
ǐ	189
ǒ	190
ə	191
ɞ	192
ɪ	193
ʃ	194
ʅ	195
ʒ	196
ʔ	197
ʕ	198
ʖ	199
ʚ	200
˂	201
˃	202
ˇ	203
ˈ	204
ˉ	205
ˊ	206
ˋ	207
ˌ	208
ˍ	209
˒	210
˓	211
˘	212
˙	213
˵	214
˶	215
˽	216
̀	217
́	218
̆	219
̋	220
̑	221
̛	222
̣	223
̤	224
̥	225
̩	226
̫	227
̬	228
̭	229
̮	230
̳	231
̴	232
̶	233
̷	234
͈	235
͒	236
͜	237
͟	238
͠	239
͡	240
Δ	241
Θ	242
Μ	243
Σ	244
Φ	245
Ψ	246
Ω	247
ά	248
ή	249
α	250
β	251
δ	252
ε	253
ζ	254
ι	255
κ	256
λ	257
μ	258
ν	259
ο	260
π	261
ρ	262
ς	263
σ	264
τ	265
φ	266
ψ	267
ω	268
ό	269
ϖ	270
А	271
В	272
Г	273
Д	274
И	275
М	276
Н	277
П	278
Р	279
С	280
Т	281
Ф	282
Ц	283
Я	284
а	285
б	286
в	287
г	288
д	289
е	290
ж	291
з	292
и	293
й	294
к	295
л	296
м	297
н	298
о	299
п	300
р	301
с	302
т	303
у	304
ф	305
х	306
ц	307
ч	308
ш	309
ы	310
ь	311
ю	312
я	313
ѧ	314
ө	315
ԅ	316
Ծ	317
՞	318
ल	319
ू	320
੭	321
ૂ	322
ૅ	323
ૢ	324
૭	325
୧	326
୨	327
௰	328
థ	329
౪	330
ಃ	331
ಠ	332
ಡ	333
ಥ	334
ก	335
ฅ	336
ง	337
ว	338
ั	339
ิ	340
็	341
้	342
๑	343
๓	344
ິ	345
ີ	346
ຶ	347
໊	348
་	349
།	350
༎	351
༝	352
༼	353
ლ	354
ღ	355
ᐛ	356
ᐦ	357
ᕕ	358
ᕗ	359
ᕤ	360
ᗨ	361
ᴗ	362
ᴥ	363
ᵎ	364
ᵒ	365
᷄	366
᷅	367
ṃ	368
ṅ	369
ớ	370
ờ	371
Ἀ	372
Ἔ	373
ἰ	374
Ἰ	375
ὢ	376
ῆ	377
 	378
​	379
‌	380
‍	381
‎	382
‐	383
‑	384
–	385
—	386
―	387
‖	388
‘	389
’	390
“	391
”	392
•	393
…	394
‧	395
 	396
′	397
‵	398
‸	399
‹	400
›	401
※	402
‾	403
‿	404
⁄	405
⁍	406
⁎	407
⁺	408
⁻	409
⁽	410
⁾	411
₃	412
€	413
⃘	414
⃝	415
⃣	416
℃	417
™	418
Ⅰ	419
Ⅱ	420
